NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
00001,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,0,,,"348,542",,,,"597,679",,,,"443,747",,
00001,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,"203,058",,,"40,878",,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,"524,839",,,"10,183,781","542,519",,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,0,,,"42,340",,,,"126,250",,,,,,
00001,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,,,,,,"2,241,000",,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,,,,,,"15,300,827",,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,,,,,,,,"881,551",,,,,,
00002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,"115,242",,,,"25,242",,,"2,043",,,
00002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,"129,363",,,,"18,029",,,,,,
00002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,"1,263,458",,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,"58,731",,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,"28,044",,,,,"61,879",,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,"271,588",,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,"1,396,669","145,589","115,526",,,"17,052",,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,"303,588",,,,,,
00005,City of Everett,Full Reporter,Urban,DR,DO,0,,,"16,495",,,,"95,341",,,,,,
00005,City of Everett,Full Reporter,Urban,MB,DO,0,,,"264,129","384,584",,,,,,,,,
00006,City of Yakima,Full Reporter,Urban,CB,PT,0,,,"26,947",,,,,,,,,,
00006,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,"33,791",,,,,,
00006,City of Yakima,Full Reporter,Urban,MB,DO,0,,,"152,218",,,,,,,,,,
00006,City of Yakima,Full Reporter,Urban,VP,DO,,,,,,,,"19,706",,,,,,
00007,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,"172,105",,,,,,
00007,Lane Transit District,Full Reporter,Urban,MB,DO,0,,,"668,750","17,694",,,,,,,,,
00007,Lane Transit District,Full Reporter,Urban,MB,PT,0,,,"8,504",,,,"16,727",,,,,,
00007,Lane Transit District,Full Reporter,Urban,RB,DO,0,,,"211,441",,,,,,,,,,
00007,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,"21,194",,,,,,
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,"689,692",,,0,,,,,,,,,,
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,"56,652,592",,,,,,,,
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,"5,370,848",,,0,"35,463",,,,,,,,,
00008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,"111,533",,,0,,,,,,,,,,
00011,Valley Regional Transit,Full Reporter,Urban,DR,PT,0,,"53,208",83,,,,"19,661",,,,,,
00011,Valley Regional Transit,Full Reporter,Urban,MB,PT,0,,"369,098","6,904",,,,"41,032",,,,,,
00012,Municipality of Anchorage,Full Reporter,Urban,DR,PT,,,,,,,,"119,630",,,,,,
00012,Municipality of Anchorage,Full Reporter,Urban,MB,DO,0,,,"478,938",,,,0,,,,,,
00012,Municipality of Anchorage,Full Reporter,Urban,MB,PT,,,,,,,,"29,840",,,,,,
00012,Municipality of Anchorage,Full Reporter,Urban,VP,PT,,,,,,,,"84,460",,,,,,
00016,RiverCities Transit,Full Reporter,Urban,DR,PT,"1,462",,,0,,,,"29,629",,,,"13,844",,
00016,RiverCities Transit,Full Reporter,Urban,MB,DO,"67,816",,,0,,,,,,,,,,
00018,Ben Franklin Transit,Full Reporter,Urban,DR,DO,,,,,,,,"327,266",,,,,,
00018,Ben Franklin Transit,Full Reporter,Urban,DR,PT,,,,,,,,"34,623",,,,,,
00018,Ben Franklin Transit,Full Reporter,Urban,MB,DO,0,,,"552,832","8,021",,,,,,,,,
00018,Ben Franklin Transit,Full Reporter,Urban,VP,DO,,,,,,,,"233,743",,,,,,
00019,Intercity Transit,Full Reporter,Urban,CB,DO,"124,950",,,182,,,,,,,,,,
00019,Intercity Transit,Full Reporter,Urban,DR,DO,"106,137",,,155,,,,"5,936",,,,"72,626",,
