Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,885",HR, DO ," 5,413 ",,0,,0,,0,,0,,0,,0,,"1,773,312,000",,0,,,0,,0,,0,,0,,0,,"368,895,937",,0,,,,,,,,,,,,,0.21,,,,No,,,Hide questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,885",CB, DO , 437 ,,"4,109,317",,0,,0,,0,,0,,0,,0,,0,,,"16,822,050",,0,,0,,0,,0,,0,,0,,,4.09,,,,,,,,,,,,,,No,,,Show questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,885",MB, DO ," 3,262 ",,"27,575,850",,0,,0,,"5,473,310",,0,,0,,0,,"232,158",,,"85,564,014",,0,,0,,"12,566,606",,0,,0,,"64,343",,,3.10,,,,,,,,,,,,0.28,,No,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,885",DR, PT ," 1,627 ",,"1,470,503",,"3,979,716",,0,,0,,0,,0,,0,,0,,,"16,138,637",,"17,190,952",,0,,0,,0,,0,,0,,,10.97,,4.32,,,,,,,,,,,,No,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,885",RB, DO , 146 ,,"1,185,641",,0,,0,,0,,0,,0,,0,,0,,,"1,374,429",,0,,0,,0,,0,,0,,0,,,1.16,,,,,,,,,,,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",CR, DO , 923 ,,"13,953,028",,0,,0,,0,,0,,0,,"385,837,774",,0,,,"2,682,254",,0,,0,,0,,"1,907,568",,"8,342,619",,0,,,0.19,,,,,,,,,,0.02,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",DR, PT , 427 ,,"40,010",,"2,194,211",,0,,0,,0,,0,,0,,0,,,0,,"19,450,636",,0,,0,,0,,0,,0,,,0.00,,8.86,,,,,,,,,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",LR, PT , 42 ,,0,,0,,0,,0,,0,,0,,"28,448,278",,0,,,0,,0,,0,,0,,0,,"2,271,289",,0,,,,,,,,,,,,,0.08,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",MB, DO ," 1,871 ",,"21,204,046",,0,,0,,"1,753,198",,0,,0,,0,,0,,,"87,222,405",,0,,0,,"7,912,843",,0,,0,,0,,,4.11,,,,,,,,,,,,,,No,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,645",MB, PT , 181 ,,"1,938,747",,0,,0,,0,,0,,0,,0,,0,,,"8,067,001",,0,,0,,0,,0,,0,,0,,,4.16,,,,,,,,,,,,,,No,,,
