NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles ,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name, Population ,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
00001,0001,King County Department of Metro Transit,KCM,King County Metro,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,201 S Jackson St,M.S. KSC-TR-0333,,Seattle,WA,98104,3854,10,http://metro.kingcounty.gov/,1731,E1D1LQ5QENJ8," 2,134 ","2,287,050",14,"Seattle, WA",," 3,059,393 ","3,028","1,010","2,000",350,"2,350",,,Tier I (Rail),,,  
00002,0002,Spokane Transit Authority,STA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,1230 W Boone Ave,,,Spokane,WA,99201,2658,10,http://www.spokanetransit.com/,1733,QV32KQAKHCE3, 248 ,"459,007",96,"Spokane, WA",," 387,847 ","2,362",164,233,43,276,,,Tier I (Fixed Route VOMS),,,  
00003,0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2021,4/30/2022,3701 96Th St Sw,,99070,Tacoma,WA,98499,4431,10,http://www.piercetransit.org/,1730,QACHE3STYGK3, 292 ,"575,963",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",298,53,351,,,Tier I (Fixed Route VOMS),,,  
00004,0T04,Confederated Tribes of the Colville Indian Reservation,,,Reduced Reporter,Tribe,Tribe,,,,9/30/2021,1/31/2022,21 Colville St,,150,Nespelem,WA,99155,,10,http://www.colvilletribes.com/,6683,NU9UAKLRDDP1,,,0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA", -   ,0,0,4,,4,,,Tier II,,,  
00005,0005,City of Everett,ET,EVERETT TRANSIT,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,3201 Smith Ave,,,Everett,WA,98201,4579,10,http://www.everetttransit.org/,1743,NB35N2NU35J3, 34 ,"110,629",14,"Seattle, WA",," 3,059,393 ","3,028","1,010",39,,39,,,Tier II,,,  
00006,0006,City of Yakima,YT,Yakima Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2021,4/30/2022,129 N 2Nd St,,,Yakima,WA,98901,2613,10,http://www.yakimatransit.org/,1750,FJNNX1XFJ9K3, 33 ,"100,715",248,"Yakima, WA",," 129,534 ","2,165",60,20,25,45,,,Tier II,,,  
00007,0007,Lane Transit District,LTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,3500 E 17Th Ave,,,Eugene,OR,97403,2375,10,http://www.ltd.org/,1738,U5LFCFM1A8J5, 482 ,"317,600",151,"Eugene, OR",," 247,421 ","2,852",87,58,57,115,,,Tier II,,,  
00008,0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2021,10/31/2021,1800 Sw 1St Ave Ste 300,,,Portland,OR,97201,5354,10,http://www.trimet.org/,1728,YXFYCBFAF5S3, 383 ,"1,577,164",24,"Portland, OR-WA",," 1,849,898 ","3,528",524,614,122,736,,,Tier I (Rail),,,  
00009,0T09,Kalispel Tribe of Indians,KTI,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,1981 N Leclerc Rd,,39,Cusick,WA,99119,9682,10,http://www.kalispeltribe.com/,6680,XY4MRBMRTWL5,,,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA", -   ,0,0,1,,1,,,Tier II,,,  
00010,0T10,Klamath Tribes,KT,,Reduced Reporter,Tribe,Tribe,,,,12/31/2021,4/30/2022,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624,6773,10,http://klamathtribes.org/administration/community-services/transportation-program/,6806,SH4JJFWHQHH4, -   ,0,0,Oregon Non-UZA,"Klamath Reservation, OR", -   ,0,0,7,,7,,,Tier II,,,  
00011,0011,Valley Regional Transit,VRT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2021,1/31/2022,700 E 2Nd St,STE 100,,Meridian,ID,83642,2672,10,http://www.valleyregionaltransit.org/,1736,JZAGN29CGAT6, 66 ,"737,790",108,"Boise City, ID",," 349,684 ","2,613",134,,68,68,,,Tier II,,,  
