Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fuel/Energy Used:,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kwh),Electric Propulsion (kwh) Questionable,Electric Battery (kwh),Electric Battery (kwh) Questionable,Miles Traveled by Vehicles Fueled by:,Diesel,Diesel Questionable,Gasoline,Gasoline Questionable,Liquefied Petroleum Gas,Liquefied Petroleum Gas Questionable,Compressed Natural Gas,Compressed Natural Gas Questionable,Other Fuel,Other Fuel Questionable,Electric Propulsion,Electric Propulsion Questionable,Electric Battery,Electric Battery Questionable,Miles per Gallon/KwH:,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kwh),Electric Propulsion (mi/kwh) Questionable,Electric Battery (mi/kwh),Electric Battery (mi/kwh) Questionable,Any data questionable?,,,0,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,075",DR, PT , 878 ,,"18,989",,"3,615,856",,0,,0,,0,,0,,0,,0,,,"361,996",,"29,345,397",,0,,0,,0,,0,,0,,,19.06,,8.12,,,,,,,,,,,,No,,,Hide questionable data tags,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,075",HR, DO ," 5,410 ",,0,,0,,0,,0,,0,,0,,"1,526,765,428",,0,,,0,,0,,0,,0,,0,,"344,400,155",,0,,,,,,,,,,,,,0.23,,,,No,,,Show questionable data tags,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,075",CB, DO , 433 ,,"3,604,357",,0,,0,,0,,0,,0,,0,,0,,,"15,084,919",,0,,0,,0,,0,,0,,0,,,4.19,,,,,,,,,,,,,,No,,1,2,1
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,075",MB, DO ," 3,223 ",,"23,998,858",,0,,0,,"4,995,412",,0,,0,,0,,"71,880",,,"79,734,158",,0,,0,,"11,816,908",,0,,0,,"120,203",,,3.32,,,,,,2.37,,,,,,1.67,,No,,,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,075",RB, DO , 131 ,,"1,070,751",,0,,0,,0,,0,,0,,0,,0,,,"3,123,945",,0,,0,,0,,0,,0,,0,,,2.92,,,,,,,,,,,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",CR, DO , 897 ,,"13,166,567",,0,,0,,0,,0,,0,,"313,922,922",,0,,,"4,713,194",,0,,0,,0,,"3,453,236",,"15,487,086",,0,,,0.36,,,,,,,,,,0.05,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",LR, PT , 42 ,,0,,0,,0,,0,,0,,0,,"28,806,639",,0,,,0,,0,,0,,0,,0,,"2,280,190",,0,,,,,,,,,,,,,0.08,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",DR, PT , 334 ,,0,,"1,640,832",,0,,0,,0,,0,,0,,0,,,0,,"13,685,471",,0,,0,,0,,0,,0,,,,,8.34,,,,,,,,,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",MB, DO ," 1,894 ",,"16,910,376",,0,,0,,"1,404,104",,0,,0,,0,,0,,,"73,545,259",,0,,0,,"7,036,459",,0,,0,,0,,,4.35,,,,,,5.01,,,,,,,,No,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,494",MB, PT , 182 ,,"2,016,749",,0,,0,,0,,0,,0,,0,,0,,,"8,353,406",,0,,0,,0,,0,,0,,0,,,4.14,,,,,,,,,,,,,,No,,,,
