NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,230,448,,,"5,910,433","4,022,799","1,887,634",,"511,018","388,714","122,304",0,0,,,,,,,"468,104","468,104",0,"4,681,124",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,12:00 AM,12:00 AM,,,,117,"9,538","5,769","3,769",,810,623,187,,,,,,,,,760,,,"6,914",52,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,12:00 AM,12:00 AM,,,,93,"6,683","3,960","2,723",,579,435,144,,,,,,,,,515,,,"4,944",59,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,12:00 AM,12:00 AM,,,,230,"19,764","13,737","6,027",,"1,711","1,302",409,,,,,,,,,"1,568",,,"15,866",254,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Annual Total,,,79,79,,,,"934,957",,,,"31,982",,,,,,,,,,"88,944","88,944",0,"1,034,484",365,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Annual Total,,,2,3,,,"49,606","49,606",0,"49,932","5,153","5,153",0,0,,,,,,,,"286,843",,,"984,134",,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Saturday,8:30 AM,10:30 PM,,,,1,59,59,0,61,14,14,0,,,,,,,,,"1,290",,,"2,673",35,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Sunday,8:30 AM,7:30 PM,,,,1,42,42,0,44,11,11,0,,,,,,,,,858,,,"1,715",38,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Weekday,5:30 AM,7:30 PM,,,,2,183,183,0,184,17,17,0,,,,,,,,,833,,,"3,288",251,0,,0,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30 AM,9:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,9:15 AM,3:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,3:15 PM,7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Annual Total,,,824,"1,189",,,"37,443,660","30,859,322","6,584,338","30,371,389","3,205,418","2,832,920","372,498",102,,,,,,,,"42,112,037",,,"173,679,796",,,,,,,"1,166.0"
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Saturday,12:00 AM,12:00 AM,,,,461,"76,611","67,646","8,965","62,675","6,968","6,416",552,,,,,,,,,"104,426",,,"390,184",52,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Sunday,12:00 AM,12:00 AM,,,,412,"69,817","61,849","7,968","57,371","6,305","5,819",486,,,,,,,,,"82,428",,,"312,474",59,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Weekday,12:00 AM,12:00 AM,,,,824,"115,514","93,418","22,096","93,415","9,729","8,499","1,230",,,,,,,,,"125,270",,,"531,316",254,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - AM Peak,5:00 AM,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Midday,9:00 AM,3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - PM Peak,3:00 PM,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Annual Total,,,41,49,,,"1,179,709","994,051","185,658","1,008,737","90,433","83,079","7,354",0,0,,,,,,,"424,166",,,"1,631,439",,,,,,,133.0
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Saturday,8:30 AM,9:00 PM,,,,15,"1,203",946,257,946,100,90,10,,,,,,,,,566,,,"1,692",52,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Sunday,9:00 AM,7:00 PM,,,,12,744,548,196,548,64,56,8,,,,,,,,,301,,,928,59,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Weekday,5:00 AM,11:00 PM,,,,41,"4,226","3,593",633,"3,650",321,296,25,,,,,,,,,"1,484",,,"5,861",254,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - AM Peak,5:00 AM,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - Midday,9:00 AM,3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - PM Peak,3:00 PM,7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00001,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Annual Total,,,10,10,,,"193,919","187,454","6,465","190,383","38,371","36,358","2,013",,,"193,919","187,454","6,465","38,371","36,358","2,013","829,953",,,"992,847",0,0,,0,,,
