Confirmed Data,Member ID,Transit Agency Name,City,State,Country,New 2020 Data,Last Data Submission,fleetid,Mode Code,Mode Name,Year Built,Status,Manufacturer Code,Manufacturer Name,Model,Vehicle Type,Vehicle Type Name,Wheelchair Accessible,Vehicle Floor Height,On-vehicle Accessibility Equipment,Platform Height,Platform Accessibility Equipment,"Seats, Number of",Length in Feet,Width in Inches,Power Type Code,Power Type Name,Engine Manufacturer Code,Engine Manufacturer Name,Amount Paid per Vehicle,"Total Vehicles, Number of","Active Vehicles,  Number of","Rehabilitated Vehicles, Number of","Vehicles to be Rehabilitated, Number of",CanadianIndex
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14760,DR,Demand Response,2016.00,A,STR,Starcraft Automotive Group,ALSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,8.00,20.00,96.00,GA,Gasoline,FO,Ford,"$63,000.00",22.00,22.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14761,DR,Demand Response,2015.00,A,STR,Starcraft Automotive Group,ALLSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,8.00,20.00,96.00,GA,Gasoline,FO,Ford,"$62,000.00",25.00,25.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14763,DR,Demand Response,2014.00,A,STR,Starcraft Automotive Group,ALLSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,8.00,20.00,96.00,GA,Gasoline,FO,Ford,"$59,000.00",29.00,29.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14764,DR,Demand Response,2013.00,A,STR,Starcraft Automotive Group,ALLSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,8.00,20.00,96.00,GA,Gasoline,FO,Ford,"$58,000.00",28.00,28.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,9514,DR,Demand Response,2010.00,A,STR,Starcraft Automotive Group,CANDIDATE,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,8.00,20.00,96.00,GA,Gasoline,FO,Ford,"$57,118.00",21.00,21.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14757,MB,Bus,2017.00,O,NFA,New Flyer of America,XD60,Busa,"Bus, articulated (>=55')",Yes,Low,Ramp,Both,None,54.00,60.00,102.00,DF,Diesel fuel,CU,Cummins,"$820,426.00",20.00,0.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14767,MB,Bus,2016.00,A,GIL,Gillig Corporation,G31D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Lift,Both,None,35.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,"$521,000.00",40.00,40.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14766,MB,Bus,2016.00,A,STR,Starcraft Automotive Group,ALLSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,19.00,24.00,102.00,GA,Gasoline,FO,Ford,"$86,000.00",6.00,6.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14765,MB,Bus,2015.00,A,STR,Starcraft Automotive Group,ALLSTAR,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,Both,None,19.00,24.00,102.00,GA,Gasoline,FO,Ford,"$85,000.00",4.00,4.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14758,MB,Bus,2015.00,A,GIL,Gillig Corporation,G31D102N4,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,Both,None,35.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,"$518,000.00",80.00,80.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,14759,MB,Bus,2013.00,A,NFA,New Flyer of America,C40LFR,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,Both,None,36.00,40.00,102.00,CN,Compressed natural gas,CU,Cummins,"$509,000.00",120.00,120.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,9511,MB,Bus,2008.00,A,NFA,New Flyer of America,D60LF,Busa,"Bus, articulated (>=55')",Yes,Low,Ramp,None,None,55.00,60.00,102.00,DF,Diesel fuel,CU,Cummins,"$601,592.00",14.00,14.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,30,MB,Bus,2007.00,A,NFA,New Flyer of America,D40LF,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,36.00,40.00,102.00,DF,Diesel fuel,CU,Cummins,"$350,000.00",96.00,96.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,17,MB,Bus,2007.00,A,NFA,New Flyer of America,D60LF,Busa,"Bus, articulated (>=55')",Yes,Low,Ramp,None,None,55.00,60.00,102.00,DF,Diesel fuel,CP,Caterpillar,"$570,000.00",30.00,30.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,18,MB,Bus,2003.00,A,NAB,North American Bus Industries (formerly Ikarus USA),45LFW,Buss,"Bus, suburban (>=27'6"", 1 door, no luggage bays)",Yes,Low,Ramp,None,None,41.00,45.00,102.00,LN,Liquified natural gas,DD,Detroit Diesel,"$382,539.00",56.00,56.00,0.00,0.00,
,6,City of Phoenix Public Transit Department,Phoenix,AZ,U.S.,No,2017,24,MB,Bus,2001.00,A,NAB,North American Bus Industries (formerly Ikarus USA),40LFW,Bust,"Bus, transit (>=27'6"", 2 doors)",Yes,Low,Ramp,None,None,38.00,40.00,102.00,LN,Liquified natural gas,CU,Cummins,"$302,397.00",45.00,45.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14629,DR,Demand Response,2016.00,A,GLV,Glaval Industries,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,GA,Gasoline,FO,Ford,"$71,923.00",28.00,28.00,0.00,0.00,
,7,City of Tucson Mass Transit System,Tucson,AZ,U.S.,No,2017,14149,DR,Demand Response,2015.00,A,GLV,Glaval Industries,FORD E-350,Sveh,"Small vehicle (<27'6"", minibus, van, car, SUV)",Yes,High,Lift,None,None,12.00,22.00,96.00,GA,Gasoline,FO,Ford,"$74,987.00",37.00,37.00,0.00,0.00,
