Source: EMFAC2021 (v1.0.2) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units: miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Statewide Totals,2023,UBUS,2009,Aggregate,Gasoline,61.40157406,5672.836673,5672.836673,0,245.6062962,0.483396977,0,1.460651696,0.000247718,0,8.24629E-05,0.003000001,0.038500011,0.000269416,0,8.96859E-05,0.012000003,0.110000032,2297.649736,0,123.4376534,0.006294874,0,0.201140951,0.035527811,0,0.106987816,0.021663823,0,0.894640705,0.10930932,0.175692233,1.268998421,0.0316118,0,0.979518962,0.10930932,0.175692233,1.268998421,0.045,0.52921049,0,9.849552084,0.022714607,0,0.001220307
Statewide Totals,2023,UBUS,2009,Aggregate,Diesel,299.7031468,31464.71961,31464.71961,0,1198.812587,4.995925747,0,0,0.007888467,0,0,0.007082323,0.038500011,0.008245149,0,0,0.028329291,0.110000032,1552.13773,0,0,0.010872475,0,0,0.244539931,0,0,0.234081412,0,0,0,0,0,0.266483869,0,0,0,0,0,0.038,0.290716937,0,0,0.014707294,0,0
Statewide Totals,2023,UBUS,2009,Aggregate,Electricity,1.125915805,57.24130357,0,57.24130357,4.50366322,0,0,0,0,0,0,0.007819871,0.019250006,0,0,0,0.031279483,0.055000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2009,Aggregate,Natural Gas,433.6485907,53321.03924,53321.03924,0,1734.594363,0.737692536,0,0,0.000209063,0,0,0.008290517,0.038500011,0.000218516,0,0,0.033162067,0.110000032,2216.905253,0,0,1.644981194,0,0,0.451930638,0,0,0.023503535,0,0,0,0,0,1.678823963,0,0,0,0,0,0.97,29.16267347,0,0,0,0,0
Statewide Totals,2023,UBUS,2010,Aggregate,Gasoline,49.05313907,4624.116712,4624.116712,0,196.2125563,0.449117745,0,1.385575977,0.000303243,0,0.000111049,0.003000001,0.038500011,0.000329805,0,0.000120776,0.012000003,0.110000032,2302.856432,0,123.2272706,0.006354413,0,0.191348597,0.033749393,0,0.103798085,0.021762717,0,0.845365563,0.109368875,0.175646304,1.268109662,0.031756106,0,0.925568883,0.109368875,0.175646304,1.268109662,0.045,0.501971125,0,9.821300468,0.02276608,0,0.001218227
Statewide Totals,2023,UBUS,2010,Aggregate,Diesel,145.1585374,14928.70937,14928.70937,0,580.6341496,0.423954242,0,0,0.007540343,0,0,0.0088735,0.038500011,0.007881284,0,0,0.035493999,0.110000032,1205.350009,0,0,0.003436197,0,0,0.189903385,0,0,0.073980369,0,0,0,0,0,0.084221018,0,0,0,0,0,0.038,0.086445079,0,0,0.011421304,0,0
Statewide Totals,2023,UBUS,2010,Aggregate,Electricity,18.25212919,1396.745183,0,1396.745183,73.00851676,0,0,0,0,0,0,0.008918693,0.019250006,0,0,0,0.035674774,0.055000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2010,Aggregate,Natural Gas,327.2370033,41144.92316,41144.92316,0,1308.948013,0.680257338,0,0,0.000194895,0,0,0.007495699,0.038500011,0.000203707,0,0,0.029982798,0.110000032,2167.075644,0,0,1.556217798,0,0,0.441772546,0,0,0.022235282,0,0,0,0,0,1.588234407,0,0,0,0,0,0.97,26.31539704,0,0,0,0,0
Statewide Totals,2023,UBUS,2011,Aggregate,Gasoline,2.1214465,43.97381503,43.97381503,0,8.485786,0.389783282,0,1.361124472,0.000274817,0,0.000168222,0.003000001,0.038500011,0.000298888,0,0.000182957,0.012000003,0.110000032,1908.014278,0,123.9598953,0.003759672,0,0.157888289,0.027771255,0,0.087725458,0.01436278,0,0.839267058,0.107289829,0.1755348,1.244878136,0.020958134,0,0.918891788,0.107289829,0.1755348,1.244878136,0.045,0.411203988,0,10.2959584,0.018862664,0,0.00122547
Statewide Totals,2023,UBUS,2011,Aggregate,Diesel,136.663455,13348.31813,13348.31813,0,546.6538199,0.356908903,0,0,0.006442035,0,0,0.007717289,0.038500011,0.006733315,0,0,0.030869157,0.110000032,1204.330328,0,0,0.003022693,0,0,0.189742734,0,0,0.065077758,0,0,0,0,0,0.074086074,0,0,0,0,0,0.22,0.073333992,0,0,0.011411642,0,0
