Model Year,Fuel,NOx_RUNEX,PM2.5_RUNEX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CH4_RUNEX,N2O_RUNEX,ROG_RUNEX,CO_RUNEX,SOx_RUNEX
1996,Diesel,20.75718464,0.015650853,0.009000003,0.038500011,0.016358515,0.03600001,0.110000032,1851.056133,0.005859188,0.291372402,0.126146721,1.032110966,0.017523925
1996,Natural Gas,12.04246245,0.020044062,0.009000003,0.038500011,0.020950365,0.03600001,0.110000032,1683.927815,5.267830912,0.343279701,0.934948702,22.07125338,0
1997,Gasoline,11.16818274,0.00174041,0.003000001,0.038500011,0.001892855,0.012000003,0.110000032,1899.253944,0.314091709,0.327696822,1.770543228,43.71397719,0.018794278
1997,Natural Gas,15.69499396,0.019755306,0.009000003,0.038500011,0.020648553,0.03600001,0.110000032,2015.380724,8.532028217,0.410848545,1.514287159,27.56902869,0
1998,Diesel,16.83256088,0.011641846,0.005462268,0.038500011,0.012168239,0.021849072,0.110000032,1465.783489,0.004640135,0.230727123,0.099900843,0.645203519,0.013876554
1999,Diesel,20.76067849,0.0156655,0.009000003,0.038500011,0.016373825,0.03600001,0.110000032,1851.591228,0.00586793,0.291456631,0.126334933,1.032999972,0.017528991
1999,Electricity,0,0,0.009000003,0.019250006,0,0.03600001,0.055000016,0,0,0,0,0,0
1999,Natural Gas,12.04879713,0.02003591,0.009000003,0.038500011,0.020941845,0.03600001,0.110000032,1684.501454,5.275646118,0.343396641,0.936335765,22.08205766,0
2000,Gasoline,0.344612902,0.001493724,0.002000001,0.031850009,0.001624561,0.008000002,0.091000026,965.8517891,0.00449806,0.027562551,0.015171607,0.351921835,0.009557693
2000,Diesel,20.65915876,0.015629565,0.008896015,0.038500011,0.016336265,0.035584061,0.110000032,1843.150819,0.005875224,0.290128037,0.126491968,1.024680201,0.017449086
2000,Electricity,0,0,0.000152178,0.000325491,0,0.000608711,0.000929975,0,0,0,0,0,0
2000,Natural Gas,15.95126141,0.019533524,0.009000003,0.038500011,0.020416743,0.03600001,0.110000032,2038.522441,8.766947043,0.415566135,1.555981179,27.87859289,0
2001,Gasoline,0.337939434,0.001460933,0.002000001,0.031850009,0.001588898,0.008000002,0.091000026,959.8801042,0.004563738,0.02776245,0.014724449,0.345179926,0.0094986
2001,Diesel,20.72385512,0.015996519,0.00893748,0.038483688,0.01671981,0.035749922,0.109953394,1853.154904,0.006015775,0.291702767,0.129517976,1.045558722,0.017543794
2001,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Natural Gas,15.55079528,0.01987664,0.008990055,0.038494957,0.020775373,0.035960219,0.109985591,2001.646254,8.405882309,0.408048683,1.492112419,27.38900346,0
2002,Gasoline,0.609548653,0.002339757,0.002485644,0.035079541,0.002544699,0.009942578,0.10022726,1514.612753,0.00893868,0.040559095,0.032140155,0.631733118,0.014988018
2002,Diesel,20.23732569,0.017931395,0.00864272,0.038287128,0.018742174,0.034570881,0.109391794,1824.948062,0.006536588,0.287262764,0.140730788,1.079987403,0.017276761
2002,Electricity,0,0,0.003000001,0.019250006,0,0.012000003,0.055000016,0,0,0,0,0,0
2002,Natural Gas,15.59961586,0.019922146,0.008929115,0.038466492,0.020822937,0.03571646,0.109904264,2003.665896,8.457193993,0.4084604,1.502680834,27.32714121,0
2003,Gasoline,0.880453405,0.002370567,0.002813855,0.037262139,0.002578208,0.011255419,0.106463255,1877.934252,0.011080768,0.051859691,0.043881293,0.895984818,0.018583306
2003,Diesel,7.005443352,0.010708301,0.007857712,0.038500011,0.011192483,0.031430849,0.110000032,1509.847285,0.002675204,0.23766315,0.057596399,0.782698644,0.014293706
2003,Electricity,0,0,0.003390013,0.019250006,0,0.013560052,0.055000016,0,0,0,0,0,0
2003,Natural Gas,10.61399258,0.009250775,0.006956557,0.038500011,0.009669054,0.027826228,0.110000032,1418.86917,6.395979948,0.289245762,1.135175606,0.27458458,0
2004,Gasoline,0.268025543,0.000195763,0.002033096,0.032070092,0.00021291,0.008132383,0.091628835,1259.732583,0.006204301,0.023477489,0.019458613,0.319886862,0.012465823
2004,Diesel,8.017749655,0.011362308,0.008738638,0.038500011,0.011876062,0.034954551,0.110000032,1686.782511,0.003344845,0.2655143,0.072013606,0.929586691,0.015968749
2004,Electricity,0,0,0.003000001,0.019250006,0,0.012000003,0.055000016,0,0,0,0,0,0
