Category Field	Value	Description
stateID	1	ALABAMA
stateID	2	ALASKA
stateID	4	ARIZONA
stateID	5	ARKANSAS
stateID	6	CALIFORNIA
stateID	8	COLORADO
stateID	9	CONNECTICUT
stateID	10	DELAWARE
stateID	11	DISTRICT OF COLUMBIA
stateID	12	FLORIDA
stateID	13	GEORGIA
stateID	15	HAWAII
stateID	16	IDAHO
stateID	17	ILLINOIS
stateID	18	INDIANA
stateID	19	IOWA
stateID	20	KANSAS
stateID	21	KENTUCKY
stateID	22	LOUISIANA
stateID	23	MAINE
stateID	24	MARYLAND
stateID	25	MASSACHUSETTS
stateID	26	MICHIGAN
stateID	27	MINNESOTA
stateID	28	MISSISSIPPI
stateID	29	MISSOURI
stateID	30	MONTANA
stateID	31	NEBRASKA
stateID	32	NEVADA
stateID	33	NEW HAMPSHIRE
stateID	34	NEW JERSEY
stateID	35	NEW MEXICO
stateID	36	NEW YORK
stateID	37	NORTH CAROLINA
stateID	38	NORTH DAKOTA
stateID	39	OHIO
stateID	40	OKLAHOMA
stateID	41	OREGON
stateID	42	PENNSYLVANIA
stateID	44	RHODE ISLAND
stateID	45	SOUTH CAROLINA
stateID	46	SOUTH DAKOTA
stateID	47	TENNESSEE
stateID	48	TEXAS
stateID	49	UTAH
stateID	50	VERMONT
stateID	51	VIRGINIA
stateID	53	WASHINGTON
stateID	54	WEST VIRGINIA
stateID	55	WISCONSIN
stateID	56	WYOMING
sourceTypeID	42	Transit Bus
fuelTypeID	1	Gasoline
fuelTypeID	2	Diesel Fuel
fuelTypeID	3	Compressed Natural Gas (CNG)
