Year,State,Source,Fuel,ModelYr,Run,CO2_Equiv,CO,NOx,SO2,Total_PM10,Total_PM25,VOC,Distance
2019,1,42,1,1990,4,0,0,0,0,0,0,0,6
2019,1,42,1,1991,4,0,0,0,0,0,0,0,16
2019,1,42,1,1992,4,0,0,0,0,0,0,0,5
2019,1,42,1,1993,4,0,0,0,0,0,0,0,20
2019,1,42,1,1994,4,0,0,0,0,0,0,0,382
2019,1,42,1,1995,4,1,0,0,0,0,0,0,527
2019,1,42,1,1996,4,1,0,0,0,0,0,0,999
2019,1,42,1,1997,4,0,0,0,0,0,0,0,85
2019,1,42,1,1998,4,0,0,0,0,0,0,0,229
2019,1,42,1,1999,4,1,0,0,0,0,0,0,589
2019,1,42,1,2000,4,48,1,0,0,0,0,0,41738
2019,1,42,1,2001,4,110,3,0,0,0,0,0,92518
2019,1,42,1,2002,4,155,4,0,0,0,0,0,130325
2019,1,42,1,2003,4,209,5,1,0,0,0,0,175674
2019,1,42,1,2004,4,245,6,1,0,0,0,0,205705
2019,1,42,1,2005,4,241,6,1,0,0,0,0,202636
2019,1,42,1,2006,4,363,9,1,0,0,0,0,304346
2019,1,42,1,2007,4,324,8,1,0,0,0,0,272496
2019,1,42,1,2008,4,577,11,1,0,0,0,1,485337
2019,1,42,1,2009,4,523,10,1,0,0,0,1,438269
2019,1,42,1,2010,4,1266,39,0,0,0,0,1,632533
2019,1,42,1,2011,4,1299,40,0,0,0,0,1,651203
2019,1,42,1,2012,4,1710,52,1,0,0,0,2,857346
2019,1,42,1,2013,4,1441,44,1,0,0,0,1,722531
2019,1,42,1,2014,4,1532,20,0,0,0,0,1,774484
2019,1,42,1,2015,4,1560,20,0,0,0,0,1,788905
2019,1,42,1,2016,4,1791,24,1,0,0,0,1,953358
2019,1,42,1,2017,4,1873,25,1,0,0,0,1,996932
2019,1,42,1,2018,4,1215,16,0,0,0,0,1,646657
2019,1,42,1,2019,4,1331,18,0,0,0,0,1,708188
2019,1,42,2,1989,4,9,0,0,0,0,0,0,4676
2019,1,42,2,1990,4,8,0,0,0,0,0,0,4453
2019,1,42,2,1991,4,7,0,0,0,0,0,0,3986
2019,1,42,2,1992,4,10,0,0,0,0,0,0,5243
2019,1,42,2,1993,4,6,0,0,0,0,0,0,3560
2019,1,42,2,1994,4,50,0,1,0,0,0,0,27381
2019,1,42,2,1995,4,27,0,0,0,0,0,0,14709
2019,1,42,2,1996,4,166,1,3,0,0,0,0,91355
2019,1,42,2,1997,4,128,1,2,0,0,0,0,70416
2019,1,42,2,1998,4,306,2,4,0,0,0,0,168499
2019,1,42,2,1999,4,612,4,7,0,0,0,1,338280
2019,1,42,2,2000,4,925,5,10,0,0,0,1,522131
2019,1,42,2,2001,4,1391,8,15,0,0,0,2,772350
2019,1,42,2,2002,4,1502,8,16,0,0,0,2,841653
2019,1,42,2,2003,4,1735,4,11,0,0,0,1,976318
2019,1,42,2,2004,4,1790,4,11,0,0,0,1,1012624
2019,1,42,2,2005,4,1693,4,10,0,0,0,1,972356
2019,1,42,2,2006,4,2436,6,14,0,1,1,2,1412299
2019,1,42,2,2007,4,3186,3,10,0,0,0,0,1787784
2019,1,42,2,2008,4,4330,4,13,0,0,0,1,2422678
2019,1,42,2,2009,4,5438,5,17,0,0,0,1,3022398
2019,1,42,2,2010,4,6354,8,15,0,0,0,1,3269887
2019,1,42,2,2011,4,4398,7,9,0,0,0,0,2264044
2019,1,42,2,2012,4,5971,9,11,0,0,0,0,3081096
2019,1,42,2,2013,4,5578,8,9,0,0,0,0,2915560
2019,1,42,2,2014,4,8237,9,12,0,0,0,0,4508457
2019,1,42,2,2015,4,8396,9,12,0,0,0,0,4592402
2019,1,42,2,2016,4,10111,10,12,0,0,0,1,5549730
2019,1,42,2,2017,4,10121,10,12,0,0,0,1,5803377
2019,1,42,2,2018,4,6566,7,8,0,0,0,0,3764339
2019,1,42,2,2019,4,7190,7,8,0,0,0,0,4122525
2019,1,42,3,1989,4,0,0,0,0,0,0,0,3
2019,1,42,3,1992,4,0,0,0,0,0,0,0,59
2019,1,42,3,1993,4,1,0,0,0,0,0,0,251
2019,1,42,3,1994,4,3,0,0,0,0,0,0,1029
2019,1,42,3,1995,4,4,0,0,0,0,0,0,1448
2019,1,42,3,1996,4,15,0,0,0,0,0,0,6164
2019,1,42,3,1997,4,20,0,0,0,0,0,0,8122
2019,1,42,3,1998,4,47,1,0,0,0,0,0,19043
2019,1,42,3,1999,4,84,1,1,0,0,0,0,33710
2019,1,42,3,2000,4,133,2,1,0,0,0,0,53653
2019,1,42,3,2001,4,216,3,2,0,0,0,0,87216
2019,1,42,3,2002,4,230,0,1,0,0,0,0,124690
2019,1,42,3,2003,4,149,0,1,0,0,0,0,80881
2019,1,42,3,2004,4,81,0,0,0,0,0,0,43973
2019,1,42,3,2005,4,143,0,1,0,0,0,0,77485
2019,1,42,3,2006,4,75,0,0,0,0,0,0,40748
2019,1,42,3,2007,4,133,0,0,0,0,0,0,77356
2019,1,42,3,2008,4,544,2,1,0,0,0,0,316700
2019,1,42,3,2009,4,488,1,1,0,0,0,0,284107
2019,1,42,3,2010,4,298,6,0,0,0,0,0,118826
2019,1,42,3,2011,4,848,16,0,0,0,0,0,337542
2019,1,42,3,2012,4,830,16,0,0,0,0,0,330690
